name,url,codes,char,category,group,subgroup
"hundred points","https://github.githubassets.com/images/icons/emoji/unicode/1f4af.png?v8","1F4AF","💯","Smileys & Emotion (emotion)","Smileys & Emotion","emotion"
"input numbers","https://github.githubassets.com/images/icons/emoji/unicode/1f522.png?v8","1F522","🔢","Symbols (alphanum)","Symbols","alphanum"
"thumbs up","https://github.githubassets.com/images/icons/emoji/unicode/1f44d.png?v8","1F44D","👍","People & Body (hand-fingers-closed)","People & Body","hand-fingers-closed"
"thumbs down","https://github.githubassets.com/images/icons/emoji/unicode/1f44e.png?v8","1F44E","👎","People & Body (hand-fingers-closed)","People & Body","hand-fingers-closed"
"1st place medal","https://github.githubassets.com/images/icons/emoji/unicode/1f947.png?v8","1F947","🥇","Activities (award-medal)","Activities","award-medal"
"2nd place medal","https://github.githubassets.com/images/icons/emoji/unicode/1f948.png?v8","1F948","🥈","Activities (award-medal)","Activities","award-medal"
"3rd place medal","https://github.githubassets.com/images/icons/emoji/unicode/1f949.png?v8","1F949","🥉","Activities (award-medal)","Activities","award-medal"
"pool 8 ball","https://github.githubassets.com/images/icons/emoji/unicode/1f3b1.png?v8","1F3B1","🎱","Activities (game)","Activities","game"
"A button (blood type)","https://github.githubassets.com/images/icons/emoji/unicode/1f170.png?v8","1F170","🅰","Symbols (alphanum)","Symbols","alphanum"
"AB button (blood type)","https://github.githubassets.com/images/icons/emoji/unicode/1f18e.png?v8","1F18E","🆎","Symbols (alphanum)","Symbols","alphanum"
"abacus","https://github.githubassets.com/images/icons/emoji/unicode/1f9ee.png?v8","1F9EE","🧮","Objects (computer)","Objects","computer"
"input latin letters","https://github.githubassets.com/images/icons/emoji/unicode/1f524.png?v8","1F524","🔤","Symbols (alphanum)","Symbols","alphanum"
"input latin lowercase","https://github.githubassets.com/images/icons/emoji/unicode/1f521.png?v8","1F521","🔡","Symbols (alphanum)","Symbols","alphanum"
"Japanese “acceptable” button","https://github.githubassets.com/images/icons/emoji/unicode/1f251.png?v8","1F251","🉑","Symbols (alphanum)","Symbols","alphanum"
"adhesive bandage","https://github.githubassets.com/images/icons/emoji/unicode/1fa79.png?v8","1FA79","🩹","Objects (medical)","Objects","medical"
"person","https://github.githubassets.com/images/icons/emoji/unicode/1f9d1.png?v8","1F9D1","🧑","People & Body (person)","People & Body","person"
"aerial tramway","https://github.githubassets.com/images/icons/emoji/unicode/1f6a1.png?v8","1F6A1","🚡","Travel & Places (transport-air)","Travel & Places","transport-air"
"flag: Afghanistan","https://github.githubassets.com/images/icons/emoji/unicode/1f1e6-1f1eb.png?v8","1F1E6 1F1EB","🇦🇫","Flags (country-flag)","Flags","country-flag"
"airplane","https://github.githubassets.com/images/icons/emoji/unicode/2708.png?v8","2708","✈","Travel & Places (transport-air)","Travel & Places","transport-air"
"flag: Åland Islands","https://github.githubassets.com/images/icons/emoji/unicode/1f1e6-1f1fd.png?v8","1F1E6 1F1FD","🇦🇽","Flags (country-flag)","Flags","country-flag"
"alarm clock","https://github.githubassets.com/images/icons/emoji/unicode/23f0.png?v8","23F0","⏰","Travel & Places (time)","Travel & Places","time"
"flag: Albania","https://github.githubassets.com/images/icons/emoji/unicode/1f1e6-1f1f1.png?v8","1F1E6 1F1F1","🇦🇱","Flags (country-flag)","Flags","country-flag"
"alembic","https://github.githubassets.com/images/icons/emoji/unicode/2697.png?v8","2697","⚗","Objects (science)","Objects","science"
"flag: Algeria","https://github.githubassets.com/images/icons/emoji/unicode/1f1e9-1f1ff.png?v8","1F1E9 1F1FF","🇩🇿","Flags (country-flag)","Flags","country-flag"
"alien","https://github.githubassets.com/images/icons/emoji/unicode/1f47d.png?v8","1F47D","👽","Smileys & Emotion (face-costume)","Smileys & Emotion","face-costume"
"ambulance","https://github.githubassets.com/images/icons/emoji/unicode/1f691.png?v8","1F691","🚑","Travel & Places (transport-ground)","Travel & Places","transport-ground"
"flag: American Samoa","https://github.githubassets.com/images/icons/emoji/unicode/1f1e6-1f1f8.png?v8","1F1E6 1F1F8","🇦🇸","Flags (country-flag)","Flags","country-flag"
"amphora","https://github.githubassets.com/images/icons/emoji/unicode/1f3fa.png?v8","1F3FA","🏺","Food & Drink (dishware)","Food & Drink","dishware"
"anchor","https://github.githubassets.com/images/icons/emoji/unicode/2693.png?v8","2693","⚓","Travel & Places (transport-water)","Travel & Places","transport-water"
"flag: Andorra","https://github.githubassets.com/images/ico:ns/emoji/unicode/1f1e6-1f1e9.png?v8","1F1E6 1F1E9","🇦🇩","Flags (country-flag)","Flags","country-flag"
"baby angel","https://github.githubassets.com/images/icons/emoji/unicode/1f47c.png?v8","1F47C","👼","People & Body (person-fantasy)","People & Body","person-fantasy"
"anger symbol","https://github.githubassets.com/images/icons/emoji/unicode/1f4a2.png?v8","1F4A2","💢","Smileys & Emotion (emotion)","Smileys & Emotion","emotion"
"flag: Angola","https://github.githubassets.com/images/icons/emoji/unicode/1f1e6-1f1f4.png?v8","1F1E6 1F1F4","🇦🇴","Flags (country-flag)","Flags","country-flag"
"angry face","https://github.githubassets.com/images/icons/emoji/unicode/1f620.png?v8","1F620","😠","Smileys & Emotion (face-negative)","Smileys & Emotion","face-negative"
"flag: Anguilla","https://github.githubassets.com/images/icons/emoji/unicode/1f1e6-1f1ee.png?v8","1F1E6 1F1EE","🇦🇮","Flags (country-flag)","Flags","country-flag"
"anguished face","https://github.githubassets.com/images/icons/emoji/unicode/1f627.png?v8","1F627","😧","Smileys & Emotion (face-concerned)","Smileys & Emotion","face-concerned"
"ant","https://github.githubassets.com/images/icons/emoji/unicode/1f41c.png?v8","1F41C","🐜","Animals & Nature (animal-bug)","Animals & Nature","animal-bug"
"flag: Antarctica","https://github.githubassets.com/images/icons/emoji/unicode/1f1e6-1f1f6.png?v8","1F1E6 1F1F6","🇦🇶","Flags (country-flag)","Flags","country-flag"
"flag: Antigua & Barbuda","https://github.githubassets.com/images/icons/emoji/unicode/1f1e6-1f1ec.png?v8","1F1E6 1F1EC","🇦🇬","Flags (country-flag)","Flags","country-flag"
"red apple","https://github.githubassets.com/images/icons/emoji/unicode/1f34e.png?v8","1F34E","🍎","Food & Drink (food-fruit)","Food & Drink","food-fruit"
"Aquarius","https://github.githubassets.com/images/icons/emoji/unicode/2652.png?v8","2652","♒","Symbols (zodiac)","Symbols","zodiac"
"flag: Argentina","https://github.githubassets.com/images/icons/emoji/unicode/1f1e6-1f1f7.png?v8","1F1E6 1F1F7","🇦🇷","Flags (country-flag)","Flags","country-flag"
"Aries","https://github.githubassets.com/images/icons/emoji/unicode/2648.png?v8","2648","♈","Symbols (zodiac)","Symbols","zodiac"
"flag: Armenia","https://github.githubassets.com/images/icons/emoji/unicode/1f1e6-1f1f2.png?v8","1F1E6 1F1F2","🇦🇲","Flags (country-flag)","Flags","country-flag"
"reverse button","https://github.githubassets.com/images/icons/emoji/unicode/25c0.png?v8","25C0","◀","Symbols (av-symbol)","Symbols","av-symbol"
"fast down button","https://github.githubassets.com/images/icons/emoji/unicode/23ec.png?v8","23EC","⏬","Symbols (av-symbol)","Symbols","av-symbol"
"fast up button","https://github.githubassets.com/images/icons/emoji/unicode/23eb.png?v8","23EB","⏫","Symbols (av-symbol)","Symbols","av-symbol"
"down arrow","https://github.githubassets.com/images/icons/emoji/unicode/2b07.png?v8","2B07","⬇","Symbols (arrow)","Symbols","arrow"
"downwards button","https://github.githubassets.com/images/icons/emoji/unicode/1f53d.png?v8","1F53D","🔽","Symbols (av-symbol)","Symbols","av-symbol"
"play button","https://github.githubassets.com/images/icons/emoji/unicode/25b6.png?v8","25B6","▶","Symbols (av-symbol)","Symbols","av-symbol"
"right arrow curving down","https://github.githubassets.com/images/icons/emoji/unicode/2935.png?v8","2935","⤵","Symbols (arrow)","Symbols","arrow"
"right arrow curving up","https://github.githubassets.com/images/icons/emoji/unicode/2934.png?v8","2934","⤴","Symbols (arrow)","Symbols","arrow"
"left arrow","https://github.githubassets.com/images/icons/emoji/unicode/2b05.png?v8","2B05","⬅","Symbols (arrow)","Symbols","arrow"
"down-left arrow","https://github.githubassets.com/images/icons/emoji/unicode/2199.png?v8","2199","↙","Symbols (arrow)","Symbols","arrow"
"down-right arrow","https://github.githubassets.com/images/icons/emoji/unicode/2198.png?v8","2198","↘","Symbols (arrow)","Symbols","arrow"
"right arrow","https://github.githubassets.com/images/icons/emoji/unicode/27a1.png?v8","27A1","➡","Symbols (arrow)","Symbols","arrow"
"left arrow curving right","https://github.githubassets.com/images/icons/emoji/unicode/21aa.png?v8","21AA","↪","Symbols (arrow)","Symbols","arrow"
"up arrow","https://github.githubassets.com/images/icons/emoji/unicode/2b06.png?v8","2B06","⬆","Symbols (arrow)","Symbols","arrow"
"up-down arrow","https://github.githubassets.com/images/icons/emoji/unicode/2195.png?v8","2195","↕","Symbols (arrow)","Symbols","arrow"
"upwards button","https://github.githubassets.com/images/icons/emoji/unicode/1f53c.png?v8","1F53C","🔼","Symbols (av-symbol)","Symbols","av-symbol"
"up-left arrow","https://github.githubassets.com/images/icons/emoji/unicode/2196.png?v8","2196","↖","Symbols (arrow)","Symbols","arrow"
"up-right arrow","https://github.githubassets.com/images/icons/emoji/unicode/2197.png?v8","2197","↗","Symbols (arrow)","Symbols","arrow"
"clockwise vertical arrows","https://github.githubassets.com/images/icons/emoji/unicode/1f503.png?v8","1F503","🔃","Symbols (arrow)","Symbols","arrow"
"counterclockwise arrows button","https://github.githubassets.com/images/icons/emoji/unicode/1f504.png?v8","1F504","🔄","Symbols (arrow)","Symbols","arrow"
"artist palette","https://github.githubassets.com/images/icons/emoji/unicode/1f3a8.png?v8","1F3A8","🎨","Activities (arts & crafts)","Activities","arts & crafts"
"articulated lorry","https://github.githubassets.com/images/icons/emoji/unicode/1f69b.png?v8","1F69B","🚛","Travel & Places (transport-ground)","Travel & Places","transport-ground"
"satellite","https://github.githubassets.com/images/icons/emoji/unicode/1f6f0.png?v8","1F6F0","🛰","Travel & Places (transport-air)","Travel & Places","transport-air"
"person","https://github.githubassets.com/images/icons/emoji/unicode/1f9d1-1f3a8.png?v8","1F9D1","🧑","People & Body (person)","People & Body","person"
"flag: Aruba","https://github.githubassets.com/images/icons/emoji/unicode/1f1e6-1f1fc.png?v8","1F1E6 1F1FC","🇦🇼","Flags (country-flag)","Flags","country-flag"
"flag: Ascension Island","https://github.githubassets.com/images/icons/emoji/unicode/1f1e6-1f1e8.png?v8","1F1E6 1F1E8","🇦🇨","Flags (country-flag)","Flags","country-flag"
"keycap: *","https://github.githubassets.com/images/icons/emoji/unicode/002a-20e3.png?v8","002A 20E3","*⃣","Symbols (keycap)","Symbols","keycap"
"astonished face","https://github.githubassets.com/images/icons/emoji/unicode/1f632.png?v8","1F632","😲","Smileys & Emotion (face-concerned)","Smileys & Emotion","face-concerned"
"person","https://github.githubassets.com/images/icons/emoji/unicode/1f9d1-1f680.png?v8","1F9D1","🧑","People & Body (person)","People & Body","person"
"running shoe","https://github.githubassets.com/images/icons/emoji/unicode/1f45f.png?v8","1F45F","👟","Objects (clothing)","Objects","clothing"
"ATM sign","https://github.githubassets.com/images/icons/emoji/unicode/1f3e7.png?v8","1F3E7","🏧","Symbols (transport-sign)","Symbols","transport-sign"
"atom","https://github.githubassets.com/images/icons/emoji/atom.png?v8",undefined,undefined,undefined,undefined,undefined
"atom symbol","https://github.githubassets.com/images/icons/emoji/unicode/269b.png?v8","269B","⚛","Symbols (religion)","Symbols","religion"
"flag: Australia","https://github.githubassets.com/images/icons/emoji/unicode/1f1e6-1f1fa.png?v8","1F1E6 1F1FA","🇦🇺","Flags (country-flag)","Flags","country-flag"
"flag: Austria","https://github.githubassets.com/images/icons/emoji/unicode/1f1e6-1f1f9.png?v8","1F1E6 1F1F9","🇦🇹","Flags (country-flag)","Flags","country-flag"
"auto rickshaw","https://github.githubassets.com/images/icons/emoji/unicode/1f6fa.png?v8","1F6FA","🛺","Travel & Places (transport-ground)","Travel & Places","transport-ground"
"avocado","https://github.githubassets.com/images/icons/emoji/unicode/1f951.png?v8","1F951","🥑","Food & Drink (food-vegetable)","Food & Drink","food-vegetable"
"axe","https://github.githubassets.com/images/icons/emoji/unicode/1fa93.png?v8","1FA93","🪓","Objects (tool)","Objects","tool"
"flag: Azerbaijan","https://github.githubassets.com/images/icons/emoji/unicode/1f1e6-1f1ff.png?v8","1F1E6 1F1FF","🇦🇿","Flags (country-flag)","Flags","country-flag"
"B button (blood type)","https://github.githubassets.com/images/icons/emoji/unicode/1f171.png?v8","1F171","🅱","Symbols (alphanum)","Symbols","alphanum"
"baby","https://github.githubassets.com/images/icons/emoji/unicode/1f476.png?v8","1F476","👶","People & Body (person)","People & Body","person"
"baby bottle","https://github.githubassets.com/images/icons/emoji/unicode/1f37c.png?v8","1F37C","🍼","Food & Drink (drink)","Food & Drink","drink"
"baby chick","https://github.githubassets.com/images/icons/emoji/unicode/1f424.png?v8","1F424","🐤","Animals & Nature (animal-bird)","Animals & Nature","animal-bird"
"baby symbol","https://github.githubassets.com/images/icons/emoji/unicode/1f6bc.png?v8","1F6BC","🚼","Symbols (transport-sign)","Symbols","transport-sign"
"BACK arrow","https://github.githubassets.com/images/icons/emoji/unicode/1f519.png?v8","1F519","🔙","Symbols (arrow)","Symbols","arrow"
"bacon","https://github.githubassets.com/images/icons/emoji/unicode/1f953.png?v8","1F953","🥓","Food & Drink (food-prepared)","Food & Drink","food-prepared"
"badger","https://github.githubassets.com/images/icons/emoji/unicode/1f9a1.png?v8","1F9A1","🦡","Animals & Nature (animal-mammal)","Animals & Nature","animal-mammal"
"badminton","https://github.githubassets.com/images/icons/emoji/unicode/1f3f8.png?v8","1F3F8","🏸","Activities (sport)","Activities","sport"
"bagel","https://github.githubassets.com/images/icons/emoji/unicode/1f96f.png?v8","1F96F","🥯","Food & Drink (food-prepared)","Food & Drink","food-prepared"
"baggage claim","https://github.githubassets.com/images/icons/emoji/unicode/1f6c4.png?v8","1F6C4","🛄","Symbols (transport-sign)","Symbols","transport-sign"
"baguette bread","https://github.githubassets.com/images/icons/emoji/unicode/1f956.png?v8","1F956","🥖","Food & Drink (food-prepared)","Food & Drink","food-prepared"
"flag: Barbados","https://github.githubassets.com/images/icons/emoji/unicode/1f1e7-1f1f8.png?v8","1F1E7 1F1E7","🇧🇧","Flags (country-flag)","Flags","country-flag"
"flag: Barbados","https://github.githubassets.com/images/icons/emoji/unicode/1f1e7-1f1ed.png?v8","1F1E7 1F1E7","🇧🇧","Flags (country-flag)","Flags","country-flag"
"balance scale","https://github.githubassets.com/images/icons/emoji/unicode/2696.png?v8","2696","⚖","Objects (tool)","Objects","tool"
"man","https://github.githubassets.com/images/icons/emoji/unicode/1f468-1f9b2.png?v8","1F468","👨","People & Body (person)","People & Body","person"
"woman","https://github.githubassets.com/images/icons/emoji/unicode/1f469-1f9b2.png?v8","1F469","👩","People & Body (person)","People & Body","person"
"ballet shoes","https://github.githubassets.com/images/icons/emoji/unicode/1fa70.png?v8","1FA70","🩰","Objects (clothing)","Objects","clothing"
"balloon","https://github.githubassets.com/images/icons/emoji/unicode/1f388.png?v8","1F388","🎈","Activities (event)","Activities","event"
"ballot box with ballot","https://github.githubassets.com/images/icons/emoji/unicode/1f5f3.png?v8","1F5F3","🗳","Objects (mail)","Objects","mail"
"check box with check","https://github.githubassets.com/images/icons/emoji/unicode/2611.png?v8","2611","☑","Symbols (other-symbol)","Symbols","other-symbol"
"pine decoration","https://github.githubassets.com/images/icons/emoji/unicode/1f38d.png?v8","1F38D","🎍","Activities (event)","Activities","event"
"banana","https://github.githubassets.com/images/icons/emoji/unicode/1f34c.png?v8","1F34C","🍌","Food & Drink (food-fruit)","Food & Drink","food-fruit"
"double exclamation mark","https://github.githubassets.com/images/icons/emoji/unicode/203c.png?v8","203C","‼","Symbols (other-symbol)","Symbols","other-symbol"
"flag: Barbados","https://github.githubassets.com/images/icons/emoji/unicode/1f1e7-1f1e9.png?v8","1F1E7 1F1E7","🇧🇧","Flags (country-flag)","Flags","country-flag"
"banjo","https://github.githubassets.com/images/icons/emoji/unicode/1fa95.png?v8","1FA95","🪕","Objects (musical-instrument)","Objects","musical-instrument"
"bank","https://github.githubassets.com/images/icons/emoji/unicode/1f3e6.png?v8","1F3E6","🏦","Travel & Places (place-building)","Travel & Places","place-building"
"bar chart","https://github.githubassets.com/images/icons/emoji/unicode/1f4ca.png?v8","1F4CA","📊","Objects (office)","Objects","office"
"flag: Barbados","https://github.githubassets.com/images/icons/emoji/unicode/1f1e7-1f1e7.png?v8","1F1E7 1F1E7","🇧🇧","Flags (country-flag)","Flags","country-flag"
"barber pole","https://github.githubassets.com/images/icons/emoji/unicode/1f488.png?v8","1F488","💈","Travel & Places (place-other)","Travel & Places","place-other"
"baseball","https://github.githubassets.com/images/icons/emoji/unicode/26be.png?v8","26BE","⚾","Activities (sport)","Activities","sport"
"basecamp","https://github.githubassets.com/images/icons/emoji/basecamp.png?v8",undefined,undefined,undefined,undefined,undefined
"basecampy","https://github.githubassets.com/images/icons/emoji/basecampy.png?v8",undefined,undefined,undefined,undefined,undefined
"basket","https://github.githubassets.com/images/icons/emoji/unicode/1f9fa.png?v8","1F9FA","🧺","Objects (household)","Objects","household"
"basketball","https://github.githubassets.com/images/icons/emoji/unicode/1f3c0.png?v8","1F3C0","🏀","Activities (sport)","Activities","sport"
"person bouncing ball","https://github.githubassets.com/images/icons/emoji/unicode/26f9-2642.png?v8","26F9","⛹","People & Body (person-sport)","People & Body","person-sport"
"person bouncing ball","https://github.githubassets.com/images/icons/emoji/unicode/26f9-2640.png?v8","26F9","⛹","People & Body (person-sport)","People & Body","person-sport"
"bat","https://github.githubassets.com/images/icons/emoji/unicode/1f987.png?v8","1F987","🦇","Animals & Nature (animal-mammal)","Animals & Nature","animal-mammal"
"person taking bath","https://github.githubassets.com/images/icons/emoji/unicode/1f6c0.png?v8","1F6C0","🛀","People & Body (person-resting)","People & Body","person-resting"
"bathtub","https://github.githubassets.com/images/icons/emoji/unicode/1f6c1.png?v8","1F6C1","🛁","Objects (household)","Objects","household"
"battery","https://github.githubassets.com/images/icons/emoji/unicode/1f50b.png?v8","1F50B","🔋","Objects (computer)","Objects","computer"
"beach with umbrella","https://github.githubassets.com/images/icons/emoji/unicode/1f3d6.png?v8","1F3D6","🏖","Travel & Places (place-geographic)","Travel & Places","place-geographic"
"bear","https://github.githubassets.com/images/icons/emoji/unicode/1f43b.png?v8","1F43B","🐻","Animals & Nature (animal-mammal)","Animals & Nature","animal-mammal"
"man: beard","https://github.githubassets.com/images/icons/emoji/unicode/1f9d4.png?v8","1F9D4","🧔","People & Body (person)","People & Body","person"
"bed","https://github.githubassets.com/images/icons/emoji/unicode/1f6cf.png?v8","1F6CF","🛏","Objects (household)","Objects","household"
"honeybee","https://github.githubassets.com/images/icons/emoji/unicode/1f41d.png?v8","1F41D","🐝","Animals & Nature (animal-bug)","Animals & Nature","animal-bug"
"beer mug","https://github.githubassets.com/images/icons/emoji/unicode/1f37a.png?v8","1F37A","🍺","Food & Drink (drink)","Food & Drink","drink"
"clinking beer mugs","https://github.githubassets.com/images/icons/emoji/unicode/1f37b.png?v8","1F37B","🍻","Food & Drink (drink)","Food & Drink","drink"
"lady beetle","https://github.githubassets.com/images/icons/emoji/unicode/1f41e.png?v8","1F41E","🐞","Animals & Nature (animal-bug)","Animals & Nature","animal-bug"
"Japanese symbol for beginner","https://github.githubassets.com/images/icons/emoji/unicode/1f530.png?v8","1F530","🔰","Symbols (other-symbol)","Symbols","other-symbol"
"flag: Barbados","https://github.githubassets.com/images/icons/emoji/unicode/1f1e7-1f1fe.png?v8","1F1E7 1F1E7","🇧🇧","Flags (country-flag)","Flags","country-flag"
"flag: Barbados","https://github.githubassets.com/images/icons/emoji/unicode/1f1e7-1f1ea.png?v8","1F1E7 1F1E7","🇧🇧","Flags (country-flag)","Flags","country-flag"
"flag: Barbados","https://github.githubassets.com/images/icons/emoji/unicode/1f1e7-1f1ff.png?v8","1F1E7 1F1E7","🇧🇧","Flags (country-flag)","Flags","country-flag"
"bell","https://github.githubassets.com/images/icons/emoji/unicode/1f514.png?v8","1F514","🔔","Objects (sound)","Objects","sound"
"bellhop bell","https://github.githubassets.com/images/icons/emoji/unicode/1f6ce.png?v8","1F6CE","🛎","Travel & Places (hotel)","Travel & Places","hotel"
"flag: Barbados","https://github.githubassets.com/images/icons/emoji/unicode/1f1e7-1f1ef.png?v8","1F1E7 1F1E7","🇧🇧","Flags (country-flag)","Flags","country-flag"
"bento box","https://github.githubassets.com/images/icons/emoji/unicode/1f371.png?v8","1F371","🍱","Food & Drink (food-asian)","Food & Drink","food-asian"
"flag: Barbados","https://github.githubassets.com/images/icons/emoji/unicode/1f1e7-1f1f2.png?v8","1F1E7 1F1E7","🇧🇧","Flags (country-flag)","Flags","country-flag"
"beverage box","https://github.githubassets.com/images/icons/emoji/unicode/1f9c3.png?v8","1F9C3","🧃","Food & Drink (drink)","Food & Drink","drink"
"flag: Barbados","https://github.githubassets.com/images/icons/emoji/unicode/1f1e7-1f1f9.png?v8","1F1E7 1F1E7","🇧🇧","Flags (country-flag)","Flags","country-flag"
"person biking","https://github.githubassets.com/images/icons/emoji/unicode/1f6b4.png?v8","1F6B4","🚴","People & Body (person-sport)","People & Body","person-sport"
"bicycle","https://github.githubassets.com/images/icons/emoji/unicode/1f6b2.png?v8","1F6B2","🚲","Travel & Places (transport-ground)","Travel & Places","transport-ground"
"person biking","https://github.githubassets.com/images/icons/emoji/unicode/1f6b4-2642.png?v8","1F6B4","🚴","People & Body (person-sport)","People & Body","person-sport"
"person biking","https://github.githubassets.com/images/icons/emoji/unicode/1f6b4-2640.png?v8","1F6B4","🚴","People & Body (person-sport)","People & Body","person-sport"
"bikini","https://github.githubassets.com/images/icons/emoji/unicode/1f459.png?v8","1F459","👙","Objects (clothing)","Objects","clothing"
"billed cap","https://github.githubassets.com/images/icons/emoji/unicode/1f9e2.png?v8","1F9E2","🧢","Objects (clothing)","Objects","clothing"
"biohazard","https://github.githubassets.com/images/icons/emoji/unicode/2623.png?v8","2623","☣","Symbols (warning)","Symbols","warning"
"bird","https://github.githubassets.com/images/icons/emoji/unicode/1f426.png?v8","1F426","🐦","Animals & Nature (animal-bird)","Animals & Nature","animal-bird"
"birthday cake","https://github.githubassets.com/images/icons/emoji/unicode/1f382.png?v8","1F382","🎂","Food & Drink (food-sweet)","Food & Drink","food-sweet"
"black circle","https://github.githubassets.com/images/icons/emoji/unicode/26ab.png?v8","26AB","⚫","Symbols (geometric)","Symbols","geometric"
"black flag","https://github.githubassets.com/images/icons/emoji/unicode/1f3f4.png?v8","1F3F4","🏴","Flags (flag)","Flags","flag"
"black heart","https://github.githubassets.com/images/icons/emoji/unicode/1f5a4.png?v8","1F5A4","🖤","Smileys & Emotion (emotion)","Smileys & Emotion","emotion"
"joker","https://github.githubassets.com/images/icons/emoji/unicode/1f0cf.png?v8","1F0CF","🃏","Activities (game)","Activities","game"
"black large square","https://github.githubassets.com/images/icons/emoji/unicode/2b1b.png?v8","2B1B","⬛","Symbols (geometric)","Symbols","geometric"
"black medium-small square","https://github.githubassets.com/images/icons/emoji/unicode/25fe.png?v8","25FE","◾","Symbols (geometric)","Symbols","geometric"
"black medium square","https://github.githubassets.com/images/icons/emoji/unicode/25fc.png?v8","25FC","◼","Symbols (geometric)","Symbols","geometric"
"black nib","https://github.githubassets.com/images/icons/emoji/unicode/2712.png?v8","2712","✒","Objects (writing)","Objects","writing"
"black small square","https://github.githubassets.com/images/icons/emoji/unicode/25aa.png?v8","25AA","▪","Symbols (geometric)","Symbols","geometric"
"black square button","https://github.githubassets.com/images/icons/emoji/unicode/1f532.png?v8","1F532","🔲","Symbols (geometric)","Symbols","geometric"
"person: blond hair","https://github.githubassets.com/images/icons/emoji/unicode/1f471-2642.png?v8","1F471","👱","People & Body (person)","People & Body","person"
"person: blond hair","https://github.githubassets.com/images/icons/emoji/unicode/1f471.png?v8","1F471","👱","People & Body (person)","People & Body","person"
"person: blond hair","https://github.githubassets.com/images/icons/emoji/unicode/1f471-2640.png?v8","1F471","👱","People & Body (person)","People & Body","person"
"person: blond hair","https://github.githubassets.com/images/icons/emoji/unicode/1f471-2640.png?v8","1F471","👱","People & Body (person)","People & Body","person"
"blossom","https://github.githubassets.com/images/icons/emoji/unicode/1f33c.png?v8","1F33C","🌼","Animals & Nature (plant-flower)","Animals & Nature","plant-flower"
"blowfish","https://github.githubassets.com/images/icons/emoji/unicode/1f421.png?v8","1F421","🐡","Animals & Nature (animal-marine)","Animals & Nature","animal-marine"
"blue book","https://github.githubassets.com/images/icons/emoji/unicode/1f4d8.png?v8","1F4D8","📘","Objects (book-paper)","Objects","book-paper"
"sport utility vehicle","https://github.githubassets.com/images/icons/emoji/unicode/1f699.png?v8","1F699","🚙","Travel & Places (transport-ground)","Travel & Places","transport-ground"
"blue heart","https://github.githubassets.com/images/icons/emoji/unicode/1f499.png?v8","1F499","💙","Smileys & Emotion (emotion)","Smileys & Emotion","emotion"
"blue square","https://github.githubassets.com/images/icons/emoji/unicode/1f7e6.png?v8","1F7E6","🟦","Symbols (geometric)","Symbols","geometric"
"smiling face with smiling eyes","https://github.githubassets.com/images/icons/emoji/unicode/1f60a.png?v8","1F60A","😊","Smileys & Emotion (face-smiling)","Smileys & Emotion","face-smiling"
"boar","https://github.githubassets.com/images/icons/emoji/unicode/1f417.png?v8","1F417","🐗","Animals & Nature (animal-mammal)","Animals & Nature","animal-mammal"
"sailboat","https://github.githubassets.com/images/icons/emoji/unicode/26f5.png?v8","26F5","⛵","Travel & Places (transport-water)","Travel & Places","transport-water"
"flag: Barbados","https://github.githubassets.com/images/icons/emoji/unicode/1f1e7-1f1f4.png?v8","1F1E7 1F1E7","🇧🇧","Flags (country-flag)","Flags","country-flag"
"bomb","https://github.githubassets.com/images/icons/emoji/unicode/1f4a3.png?v8","1F4A3","💣","Smileys & Emotion (emotion)","Smileys & Emotion","emotion"
"bone","https://github.githubassets.com/images/icons/emoji/unicode/1f9b4.png?v8","1F9B4","🦴","People & Body (body-parts)","People & Body","body-parts"
"open book","https://github.githubassets.com/images/icons/emoji/unicode/1f4d6.png?v8","1F4D6","📖","Objects (book-paper)","Objects","book-paper"
"bookmark","https://github.githubassets.com/images/icons/emoji/unicode/1f516.png?v8","1F516","🔖","Objects (book-paper)","Objects","book-paper"
"bookmark tabs","https://github.githubassets.com/images/icons/emoji/unicode/1f4d1.png?v8","1F4D1","📑","Objects (book-paper)","Objects","book-paper"
"books","https://github.githubassets.com/images/icons/emoji/unicode/1f4da.png?v8","1F4DA","📚","Objects (book-paper)","Objects","book-paper"
"collision","https://github.githubassets.com/images/icons/emoji/unicode/1f4a5.png?v8","1F4A5","💥","Smileys & Emotion (emotion)","Smileys & Emotion","emotion"
"woman’s boot","https://github.githubassets.com/images/icons/emoji/unicode/1f462.png?v8","1F462","👢","Objects (clothing)","Objects","clothing"
"flag: Bosnia & Herzegovina","https://github.githubassets.com/images/icons/emoji/unicode/1f1e7-1f1e6.png?v8","1F1E7 1F1E6","🇧🇦","Flags (country-flag)","Flags","country-flag"
"flag: Barbados","https://github.githubassets.com/images/icons/emoji/unicode/1f1e7-1f1fc.png?v8","1F1E7 1F1E7","🇧🇧","Flags (country-flag)","Flags","country-flag"
"person bouncing ball","https://github.githubassets.com/images/icons/emoji/unicode/26f9-2642.png?v8","26F9","⛹","People & Body (person-sport)","People & Body","person-sport"
"person bouncing ball","https://github.githubassets.com/images/icons/emoji/unicode/26f9.png?v8","26F9","⛹","People & Body (person-sport)","People & Body","person-sport"
"person bouncing ball","https://github.githubassets.com/images/icons/emoji/unicode/26f9-2640.png?v8","26F9","⛹","People & Body (person-sport)","People & Body","person-sport"
