name,url,codes,char,category,group,subgroup
"flag: Cocos (Keeling) Islands","https://github.githubassets.com/images/icons/emoji/unicode/1f1e8-1f1ee.png?v8","1F1E8 1F1E8","🇨🇨","Flags (country-flag)","Flags","country-flag"
"couch and lamp","https://github.githubassets.com/images/icons/emoji/unicode/1f6cb.png?v8","1F6CB","🛋","Objects (household)","Objects","household"
"woman and man holding hands","https://github.githubassets.com/images/icons/emoji/unicode/1f46b.png?v8","1F46B","👫","People & Body (family)","People & Body","family"
"couple with heart","https://github.githubassets.com/images/icons/emoji/unicode/1f491.png?v8","1F491","💑","People & Body (family)","People & Body","family"
"red heart","https://github.githubassets.com/images/icons/emoji/unicode/1f468-2764-1f468.png?v8","2764","❤","Smileys & Emotion (emotion)","Smileys & Emotion","emotion"
"red heart","https://github.githubassets.com/images/icons/emoji/unicode/1f469-2764-1f468.png?v8","2764","❤","Smileys & Emotion (emotion)","Smileys & Emotion","emotion"
"red heart","https://github.githubassets.com/images/icons/emoji/unicode/1f469-2764-1f469.png?v8","2764","❤","Smileys & Emotion (emotion)","Smileys & Emotion","emotion"
"kiss","https://github.githubassets.com/images/icons/emoji/unicode/1f48f.png?v8","1F48F","💏","People & Body (family)","People & Body","family"
"kiss mark","https://github.githubassets.com/images/icons/emoji/unicode/1f468-2764-1f48b-1f468.png?v8","1F48B","💋","Smileys & Emotion (emotion)","Smileys & Emotion","emotion"
"kiss mark","https://github.githubassets.com/images/icons/emoji/unicode/1f469-2764-1f48b-1f468.png?v8","1F48B","💋","Smileys & Emotion (emotion)","Smileys & Emotion","emotion"
"kiss mark","https://github.githubassets.com/images/icons/emoji/unicode/1f469-2764-1f48b-1f469.png?v8","1F48B","💋","Smileys & Emotion (emotion)","Smileys & Emotion","emotion"
"cow face","https://github.githubassets.com/images/icons/emoji/unicode/1f42e.png?v8","1F42E","🐮","Animals & Nature (animal-mammal)","Animals & Nature","animal-mammal"
"cow","https://github.githubassets.com/images/icons/emoji/unicode/1f404.png?v8","1F404","🐄","Animals & Nature (animal-mammal)","Animals & Nature","animal-mammal"
"cowboy hat face","https://github.githubassets.com/images/icons/emoji/unicode/1f920.png?v8","1F920","🤠","Smileys & Emotion (face-hat)","Smileys & Emotion","face-hat"
"crab","https://github.githubassets.com/images/icons/emoji/unicode/1f980.png?v8","1F980","🦀","Food & Drink (food-marine)","Food & Drink","food-marine"
"crayon","https://github.githubassets.com/images/icons/emoji/unicode/1f58d.png?v8","1F58D","🖍","Objects (writing)","Objects","writing"
"credit card","https://github.githubassets.com/images/icons/emoji/unicode/1f4b3.png?v8","1F4B3","💳","Objects (money)","Objects","money"
"crescent moon","https://github.githubassets.com/images/icons/emoji/unicode/1f319.png?v8","1F319","🌙","Travel & Places (sky & weather)","Travel & Places","sky & weather"
